ID,頭文字,品目名,item_name,小型家電回収対象,出し方,category,出し方のポイント,point,品目名_output,item_name_output,完全一致1,完全一致2,完全一致3
1142,さ,酒びん(陶器製)、酒瓶(陶器製)、お酒、ウィスキー、ワイン、日本酒、焼酎、チューハイ,sake bottles (made of pottery),,燃えないごみ,Non-burnable garbage,,,酒びん(陶器製),Sake bottles (made of pottery),sake bottles (made of pottery),nan,nan
1143,さ,サイドテーブル,side table,,粗大ごみ,Oversized garbage,金属製で30cm未満のものは小さな金属類へ 金属製以外のもので50cm未満のものは燃やすごみへ。,"Metal and less than 30 cm to Small metal itemss are used other than metal, and those with less than 50cm are burned to Burnable garbage.",サイドテーブル,Side table,side table,nan,nan
1144,さ,裁縫箱,sewing box,,燃やすごみ,Burnable garbage,,,裁縫箱,Sewing box,sewing box,nan,nan
1145,さ,作業服(つなぎ)、つなぎ,workwear (tsunagi),,古布,Used Cloth,,,作業服(つなぎ),Workwear (Tsunagi),workwear (tsunagi),nan,nan
1146,さ,サニタリーボックス(プラスチック製),sanitary box (made of plastic),,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,サニタリーボックス(プラスチック製),Sanitary box (made of plastic),sanitary box (made of plastic),nan,nan
1147,さ,殺虫剤(薬剤蒸散式),insecticide (drug evaporation type)、pesticide (drug evaporation type),,プラスチック製容器包装,Plastic containers and packaging,薬剤反応で成分を噴出し、使いきりのもの(容器)。内側の金属容器は小さな金属類へ。,"The ingredients are spouted in the drug reaction, and those that are used (container) are used. The inner metal container is to a Small metal items.",殺虫剤(薬剤蒸散式),Insecticide (drug evaporation type),insecticide (drug evaporation type),nan,nan
1148,さ,殺虫剤のボトル,insecticide bottle、pesticide bottle,,プラスチック製容器包装,Plastic containers and packaging,使い切って出す。電気式の殺虫剤機器に使う液体ボトルも対象。エアゾール缶タイプのものはスプレー缶へ。,Use up and put it out. For liquid bottles used for electric insecticide equipment. Aerazole can type is to spray can.,殺虫剤のボトル,Insecticide bottle,insecticide bottle,nan,nan
1149,さ,殺虫剤(電池・電気式),insecticide (battery / electric type)、pesticide (battery / electric type),,燃やすごみ,Burnable garbage,乾電池・コンセントを使用し、継続して使えるもの。,Those that can be used continuously using batteries and outlets.,殺虫剤(電池・電気式),Insecticide (battery / electric type),insecticide (battery / electric type),nan,nan
1150,さ,酒びん(ガラス製)、酒瓶(ガラス製)、お酒、ウィスキー、ワイン、日本酒、焼酎、チューハイ,sake bottles (made of glass),,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,,,酒びん(ガラス製),Sake bottles (made of glass),sake bottles (made of glass),nan,nan
1151,さ,雑紙(ざつがみ),miscellaneous paper (zatsugami),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,雑紙(ざつがみ),Miscellaneous paper (Zatsugami),miscellaneous paper (zatsugami),nan,nan
1152,さ,サラダスピナー,salad spinner,,燃やすごみ,Burnable garbage,ガラスボウルは燃えないごみへ。蓋が金属製の場合は小さな金属類へ。,"Glass bowl is to non -burnable garbage. If the lid is made of metal, go to a Small metal items.",サラダスピナー,Salad spinner,salad spinner,nan,nan
1153,さ,サンドバック,sandbag,,粗大ごみ,Oversized garbage,,,サンドバック,Sandback,sandback,nan,nan
1155,さ,サスペンダー,suspenders,,燃やすごみ,Burnable garbage,,,サスペンダー,suspenders,suspenders,nan,nan
1156,さ,サンゴ(工芸品)、さんご(工芸品)、珊瑚(工芸品),coral (crafts),,燃やすごみ,Burnable garbage,,,サンゴ(工芸品),Coral (crafts),coral (crafts),nan,nan
1157,さ,三角表示板,triangular display board,,燃やすごみ,Burnable garbage,,,三角表示板,Triangular display board,triangular display board,nan,nan
1158,さ,祭壇,altar,,粗大ごみ,Oversized garbage,,,祭壇,altar,altar,nan,nan
1159,さ,裁断機(金属製),cutting machine (metal),,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,裁断機(金属製),Cutting machine (metal),cutting machine (metal),nan,nan
1160,さ,サポーター,supporter,,燃やすごみ,Burnable garbage,,,サポーター,Supporter,supporter,nan,nan
1161,さ,サイドミラー・バックミラー(車・バイク用),side mirrors(for cars and motorcycles) /rearview mirrors (for cars and motorcycles),,燃えないごみ,Non-burnable garbage,プラスチックのカバー部分の割合が多いものは、燃やすごみへ。 金属製のカバー部分の割合が多いがのものは小さな金属類へ。,"If you have a large percentage of plastic cover, go to burn garbage. For Small metal itemss, which have a large percentage of metal cover parts.",サイドミラー・バックミラー(車・バイク用),Side mirror back mirror (for car / motorcycle),side mirror back mirror (for car / motorcycle),nan,nan
1162,さ,サーフボードケース,surfboard case,,燃やすごみ,Burnable garbage,畳んで50cm以上のものは粗大ごみへ。,"If you fold and fold more than 50cm, go to the oversized garbage.",サーフボードケース,Surfboard case,surfboard case,nan,nan
1163,さ,サンドイッチの包み,sandwich wrap,,プラスチック製容器包装,Plastic containers and packaging,,,サンドイッチの包み,Sandwich wrap,sandwich wrap,nan,nan
1164,さ,さらし、サラシ,sarashi / cloth,,古布,Used Cloth,洗濯して乾かしてから。,After washing and drying.,さらし,Exposed,exposed,nan,nan
1165,さ,サーモマグ,thermo mag,,小さな金属類,Small metal items,,,サーモマグ,Thermomag,thermomag,nan,nan
1166,さ,殺虫灯,insecticidal light /insect killer,,燃やすごみ,Burnable garbage,,,殺虫灯,Insecticidal light,insecticidal light,nan,nan
1167,さ,酸素マスク,oxygen mask,,燃やすごみ,Burnable garbage,,,酸素マスク,Oxygen mask,oxygen mask,nan,nan
1168,さ,散水器,sprinkler,,燃やすごみ,Burnable garbage,金属製の場合は小さな金属類へ。,"If it is made of metal, go to a Small metal items.",散水器,Waterwater,waterwater,nan,nan
1170,さ,サイコロ、さいころ、ダイス,dice,,燃やすごみ,Burnable garbage,,,サイコロ,Dice,dice,nan,nan
1172,さ,サイクルコンピューター,cycle computer,◎,燃やすごみ,Burnable garbage,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。,"The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage.",サイクルコンピューター,Cycle computer,cycle computer,nan,nan
1173,さ,差込形電線コネクタ,plug-in wire connector,,燃やすごみ,Burnable garbage,,,差込形電線コネクタ,Insert -type wire connector,insert -type wire connector,nan,nan
1174,さ,サイディング,siding,,粗大ごみ,Oversized garbage,50cm未満のものは燃えないごみへ、30cm以下のものは小さな金属類へ。,"Those with less than 50cm are not Burnable garbage, 30 cm or less to Small metal itemss.",サイディング,Siding,siding,nan,nan
1175,さ,皿立て(金属製),dish stand (made of metal),,小さな金属類,Small metal items,,,皿立て(金属製),Plate stand (made of metal),plate stand (made of metal),nan,nan
1176,さ,皿立て(プラ・木製),dish stand (plastic / wood),,燃やすごみ,Burnable garbage,,,皿立て(プラ・木製),Plate stand (plastic / wood),plate stand (plastic / wood),nan,nan
1177,さ,指し棒,pointer,,小さな金属類,Small metal items,,,指し棒,Finger stick,finger stick,nan,nan
1178,さ,サイクルメーター,cycle meter,◎,燃やすごみ,Burnable garbage,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。,"The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage.",サイクルメーター,Cycle meter,cycle meter,nan,nan
1179,さ,サンドイッチメーカー(プラスチック製),sandwich maker (plastic),,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,サンドイッチメーカー(プラスチック製),Sandwich maker (plastic),sandwich maker (plastic),nan,nan
1180,さ,サニタリーバッグ,sanitary bag,,燃やすごみ,Burnable garbage,紙製で未使用のものは古紙(雑誌・その他の紙)へ。,"If it is made of paper and unused, go to the used paper (magazine / other paper).",サニタリーバッグ,Sanitary bag,sanitary bag,nan,nan
1181,さ,雑誌の切り抜き、雑誌,magazine clippings /magazines,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,雑誌の切り抜き,Cutting out of magazines,cutting out of magazines,nan,nan
1182,さ,サンプラー,sampler,◎,燃やすごみ,Burnable garbage,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。50cm以上のものは粗大ごみへ。,"Pull out the rechargeable battery. The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage. If it is more than 50cm, go to oversized garbage.",サンプラー,sampler,sampler,nan,nan
1183,さ,三脚(カーボン製)、脚立(カーボン製),tripod (made of carbon) /stepladder (made of carbon),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",三脚(カーボン製),Subas (carbon),subas (carbon),nan,nan
1184,さ,酸素缶、酸素ボンベ,oxygen can / oxygen cylinder,,スプレー缶,Spray cans,"中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては<a href=""http://www.city.yokohama.lg.jp/shigen/sub-soshiki/jimusho/"">収集事務所</a>に相談。",,酸素缶,Oxygen can,oxygen can,nan,nan
1185,さ,散水スプリンクラー、スプリンクラー,water sprinkle sprinkler,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,散水スプリンクラー,Water sprinkle sprinkler,water sprinkle sprinkler,nan,nan
1186,さ,サッカーゴール(家庭用),soccer goal (for home),,粗大ごみ,Oversized garbage,プラスチック製で、各パーツが50cm未満になるものは、燃やすごみへ。,"If it is made of plastic and each part is less than 50 mm, go to the Burnable garbage.",サッカーゴール(家庭用),Soccer goal (for home),soccer goal (for home),nan,nan
1187,さ,搾乳器,milker,◎,燃やすごみ,Burnable garbage,ガラス製の哺乳瓶は外して、燃えないごみへ。電池は外して。充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。,"Remove the glass bottle to non -burnable garbage. Remove the battery. Pull out the rechargeable battery. The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage.",搾乳器,Milker,milker,nan,nan
1188,さ,柵(金属製以外),fence (other than metal),,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those with less than 50cm are to Burnable garbage.,柵(金属製以外),Fence (other than metal),fence (other than metal),nan,nan
1189,さ,サプリメントの容器(プラスチック製),supplement container (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,サプリメントの容器(プラスチック製),Supplement container (made of plastic),supplement container (made of plastic),nan,nan
1190,さ,殺鼠剤の容器、殺虫剤の容器,rodenticide container / /insecticide container,,プラスチック製容器包装,Plastic containers and packaging,使い切って出す。袋に入ったまま使用するタイプのものは燃やすごみへ。,Use up and put it out. The type that is used in the bag to the Burnable garbage.,殺鼠剤の容器,Rating container,rating container,nan,nan
1191,し,CD等(ケースも含む),cds / etc. (including cases),,燃やすごみ,Burnable garbage,紙製のジャケットは古紙(雑誌・その他の紙)へ。,"For paper jackets, go to the used paper (magazine / other paper).",CD等(ケースも含む),CDs、 etc. (including cases),cds、 etc. (including cases),nan,nan
1192,し,CDプレーヤー,cd player,,粗大ごみ,Oversized garbage,プラスチック製で50cm未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。)。金属製で30cm未満のものは小さな金属類へ。,"If it is made of plastic and is less than 50cm, to the Burnable garbage (rechargeable, rechargeable batteries are to the collaborative store. If the rechargeable battery cannot be removed, put it in a different bag from other Burnable garbage). Metal and less than 30 cm to Small metal itemss.",CDプレーヤー,cd player,cd player,nan,nan
1193,し,シーツ,sheets,,古布,Used Cloth,洗濯して乾かしてから。綿が入っているものは燃やすごみへ。,After washing and drying. Those with cotton are to Burnable garbage.,シーツ,Sheets,sheets,nan,nan
1194,し,ジーンズ、デニム,jeans,,古布,Used Cloth,洗濯して乾かしてから。,After washing and drying.,ジーンズ,jeans,jeans,nan,nan
1195,し,地下足袋,underground tabi,,燃やすごみ,Burnable garbage,,,地下足袋,Underground tabi,underground tabi,nan,nan
1196,し,磁石,magnet,,燃えないごみ,Non-burnable garbage,,,磁石,magnet,magnet,nan,nan
1197,し,下着類、下着,underwear,,古布,Used Cloth,洗濯して乾かしてから。,After washing and drying.,下着類,Underwear,underwear,nan,nan
1198,し,下敷き(プラスチック製)、下敷(プラスチック製),underlay (made of plastic) /underlay,,燃やすごみ,Burnable garbage,,,下敷き(プラスチック製),Underlined (made of plastic),underlined (made of plastic),nan,nan
1199,し,湿布,poultice,,燃やすごみ,Burnable garbage,,,湿布,Compress,compress,nan,nan
1200,し,湿布の外箱(紙製)、空箱,outside box of  poultice (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),折りたたんで。,Folded.,湿布の外箱(紙製),Outside box of compress (made of paper),outside box of compress (made of paper),nan,nan
1201,し,湿布の内袋,inner bag of poultice,,燃やすごみ,Burnable garbage,プラマークのあるものはプラスチック製容器包装へ。,"If you have a plastic mark, go to the plastic container packaging.",湿布の内袋,Inner bag of compress,inner bag of compress,nan,nan
1202,し,湿布の表面に貼ってあるフィルム、湿布フィルム,film on the surface of the poultice,,燃やすごみ,Burnable garbage,,,湿布の表面に貼ってあるフィルム,Film on the surface of the compress,film on the surface of the compress,nan,nan
1204,し,自転車、チャリ,bicycle,,粗大ごみ,Oversized garbage,,,自転車,bicycle,bicycle,nan,nan
1205,し,シャープペンシルの芯ケース(プラスチック製),mechanical pencil lead case (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,シャープペンシルの芯ケース(プラスチック製),Mechanical pencil core case (made of plastic),mechanical pencil core case (made of plastic),nan,nan
1206,し,蛇口・水栓(自分で取り外したもののみ)、蛇口、水栓,faucet (only removed by yourself),,小さな金属類,Small metal items,請負工事に伴い取り外したものは業者に処分を依頼する。,Ask the contractor to dispose of what has been removed due to the contract work.,蛇口・水栓(自分で取り外したもののみ),Siblator / faucet (only removed by yourself),siblator / faucet (only removed by yourself),nan,nan
1207,し,ジャッキ,jack,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",ジャッキ,jack,jack,nan,nan
1208,し,写真(ネガ),photo (negative),,燃やすごみ,Burnable garbage,,,写真(ネガ),Photo (negative),photo (negative),nan,nan
1209,し,写真(印画紙),photo (printed paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,写真(印画紙),Photo (printed paper),photo (printed paper),nan,nan
1210,し,シャンプー(プラスチック製ボトル・チューブ)(ノズル含む)、シャンプーボトル、シャンプーチューブ,shampoo (plastic bottle tube) (including nozzle),,プラスチック製容器包装,Plastic containers and packaging,詰め替え用が入っていた袋も対象。空のボトルを商品として購入した場合は燃やすごみへ。,"The bag with refills is also eligible. If you buy an empty bottle as a product, go to the Burnable garbage.",シャンプー(プラスチック製ボトル・チューブ)(ノズル含む),Shampoo (plastic bottle tube) (including nozzle),shampoo (plastic bottle tube) (including nozzle),nan,nan
1211,し,シャンプーなど(詰め替え品が入っていた容器),shampoo / etc. (container with refills),,プラスチック製容器包装,Plastic containers and packaging,,,シャンプーなど(詰め替え品が入っていた容器),Shampoo、 etc. (container with refills),shampoo、 etc. (container with refills),nan,nan
1212,し,じゅうたん、絨毯、カーペット、ラグ,carpet /rug,,粗大ごみ,Oversized garbage,畳んで50cm未満のものは燃やすごみへ。,"If you fold it down to less than 50cm, go to the Burnable garbage.",じゅうたん,Carpet,carpet,nan,nan
1213,し,シュレッダーした紙類,shredder paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),紙袋または半透明の袋に入れる。,Put it in a paper bag or a translucent bag.,シュレッダーした紙類,Shredder paper,shredder paper,nan,nan
1214,し,消火器,fire extinguisher,,(株)消火器リサイクル推進センターへ,Fire extinguisher recycling promotion center,(株)消火器リサイクル推進センター03-5829-6773,Fire extinguisher recycling promotion center 03-5829-6773.,消火器,Fire extinguisher,fire extinguisher,nan,nan
1215,し,定規(木製・プラスチック製)、物差し,ruler (made of wood or plastic) / ruler,,燃やすごみ,Burnable garbage,,,定規(木製・プラスチック製),A ruler (wooden / plastic),a ruler (wooden / plastic),nan,nan
1216,し,定規のケース、定規入れ,ruler case / ruler case,,プラスチック製容器包装,Plastic containers and packaging,,,定規のケース,Ruler case,ruler case,nan,nan
1217,し,将棋盤,shogi board,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",将棋盤,Shogi board,shogi board,nan,nan
1218,し,照明器具、照明、ライト、明かり,lighting equipment /luminaire,,粗大ごみ,Oversized garbage,電球等は外す。金属製で30cm未満のものは小さな金属類へ。木製・プラスチック製で50cm未満のものは燃やすごみへ。ガラス製で50cm未満のものは燃えないごみへ。,Remove the light bulb etc. Metal and less than 30 cm to Small metal itemss. Made of wood and plastic with less than 50cm to burn it. Glasses that are less than 50cm are not Burnable garbage.,照明器具,lighting equipment,lighting equipment,nan,nan
1220,し,しょうゆの入っていたペットボトル,pet bottle with soy sauce,,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,ペットボトルマークを確認。,Check the plastic bottle mark.,しょうゆの入っていたペットボトル,PET bottle with soy sauce,pet bottle with soy sauce,nan,nan
1221,し,しょうゆ加工品(めんつゆ、だし醤油など)の入っていたペットボトル,pet bottle containing soy sauce processed products (such as mentsuyu / dashi soy sauce / etc.),,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,ペットボトルマークを確認。プラマークのものはプラスチック製容器包装へ。,"Check the plastic bottle mark. For plastic marks, go to the plastic container packaging.",しょうゆ加工品(めんつゆ、だし醤油など)の入っていたペットボトル,PET bottle containing soy sauce processed products (such as mentsuyu、 dashi soy sauce、 etc.),pet bottle containing soy sauce processed products (such as mentsuyu、 dashi soy sauce、 etc.),nan,nan
1222,し,食用油,cooking oil,,燃やすごみ,Burnable garbage,油を紙などに染み込ませるか固めて ボトルはプラスチック製容器包装へ。,"Drop the oil into paper, or solidify the bottle to the plastic container packaging.",食用油,Cooking oil,cooking oil,nan,nan
1223,し,食用油の缶・びん,edible oil cans and bottles,,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,中身を使い切ってから。,Use up the contents.,食用油の缶・びん,Edible oil cans and bottles,edible oil cans and bottles,nan,nan
1224,し,食用油のボトル(プラスチック製),edible oil bottles (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,食用油のボトル(プラスチック製),Edible oil bottles (made of plastic),edible oil bottles (made of plastic),nan,nan
1225,し,食用油のプラスチックボトルの外包装,edible oil plastic bottle outer packaging,,プラスチック製容器包装,Plastic containers and packaging,,,食用油のプラスチックボトルの外包装,Out -of -packaging of edible plastic bottles,out -of -packaging of edible plastic bottles,nan,nan
1226,し,食用油のプラスチックボトルのキャップ,cooking oil plastic bottle cap,,プラスチック製容器包装,Plastic containers and packaging,,,食用油のプラスチックボトルのキャップ,Cap of edible oil plastic bottle,cap of edible oil plastic bottle,nan,nan
1227,し,食用油のプラスチックボトルのラベル(紙製),edible plastic bottle label (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,食用油のプラスチックボトルのラベル(紙製),Edible plastic bottle label (made of paper),edible plastic bottle label (made of paper),nan,nan
1228,し,食用油のプラスチックボトルのラベル,edible plastic bottle label,,プラスチック製容器包装,Plastic containers and packaging,,,食用油のプラスチックボトルのラベル,Edible plastic bottle label,edible plastic bottle label,nan,nan
1229,し,除湿剤容器(プラスチック製),dehumidifier container (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,たまった水を捨てて。薬剤は燃やすごみへ。,Throw away the accumulated water. The drug is to burn the Burnable garbage.,除湿剤容器(プラスチック製),Dehumidifier container (made of plastic),dehumidifier container (made of plastic),nan,nan
1230,し,食器洗い乾燥機,dishwasher dryer,,粗大ごみ,Oversized garbage,,,食器洗い乾燥機,Dishwasher dryer,dishwasher dryer,nan,nan
1231,し,新聞、新聞紙,newspaper,,古紙（新聞）,Used paper (newspaper),折込ちらしも一緒に。,Inserting together.,新聞,newspaper,newspaper,nan,nan
1232,し,シュレッダー(手動:プラスチック製),shredder (manual: plastic),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",シュレッダー(手動:プラスチック製),Shredder (manual: plastic),shredder (manual: plastic),nan,nan
1233,し,食品用装飾品(プラスチック製),food decoration (made of plastic) /food accessories (made of plastic),,燃やすごみ,Burnable garbage,,,食品用装飾品(プラスチック製),Food decoration (made of plastic),food decoration (made of plastic),nan,nan
1234,し,自転車の車輪、自転車のタイヤ,bicycle wheels /bicycle tire,,粗大ごみ,Oversized garbage,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものはゴム部分(燃やすごみへ)を外して小さな金属類へ。,"Made of plastic and less than 50cm to burn garbage. If it is made of metal and is less than 30cm, remove the rubber part (to Burnable garbage) and go to Small metal itemss.",自転車の車輪,Bicycle wheels,bicycle wheels,nan,nan
1235,し,シール,sticker,,燃やすごみ,Burnable garbage,台紙は古紙(雑誌・その他の紙)へ。,The mount is to the used paper (magazine / other paper).,シール,sticker,sticker,nan,nan
1236,し,磁気カード、ICカード,magnetic card /ic card,,燃やすごみ,Burnable garbage,,,磁気カード,Magnetic card,magnetic card,nan,nan
1237,し,色紙,colored paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,色紙,colored paper,colored paper,nan,nan
1239,し,敷物,rug,,燃やすごみ,Burnable garbage,畳んで50cm以上のものは粗大ごみへ。,"If you fold and fold more than 50cm, go to the oversized garbage.",敷物,Rug,rug,nan,nan
1240,し,湿度計,hygrometer,,燃えないごみ,Non-burnable garbage,プラスチック製のものは燃やすごみ。,Plastic ones are Burnable garbage.,湿度計,Hypermeter,hypermeter,nan,nan
1241,し,室内物干し、物干し竿,indoor clothesline /clothesline,,粗大ごみ,Oversized garbage,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,Made of plastic and less than 50 cm to Burnable garbage. Metal and less than 30 cm to Small metal itemss.,室内物干し,Indoor clothesline,indoor clothesline,nan,nan
1242,し,芝刈りバリカン,lawn mowing clippers,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみ。刃は小さな金属類へ。,Things of 50cm or more are oversized garbage. The blade is to a Small metal items.,芝刈りバリカン,Grass mowing clippers,grass mowing clippers,nan,nan
1243,し,ジャージー(衣類)、ジャージ,jersey (clothing),,古布,Used Cloth,洗濯をして乾かしてから。,After washing and drying.,ジャージー(衣類),Jersey (clothing),jersey (clothing),nan,nan
1244,し,ジャケット,jacket,,古布,Used Cloth,汚れ等を落としてから。綿入りのものや革製のものは燃やすごみへ。,"After removing dirt etc. For those with cotton or leather, go to Burnable garbage.",ジャケット,Jacket,jacket,nan,nan
1245,し,シャベル(金属製)、スコップ(金属製),shavel (made of metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",シャベル(金属製),Shavel (made of metal),shavel (made of metal),nan,nan
1246,し,シャベル(金属製以外)、スコップ(金属製以外),shovel (other than metal),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",シャベル(金属製以外),Shovel (other than metal),shovel (other than metal),nan,nan
1247,し,しゃもじ,rice scoop,,燃やすごみ,Burnable garbage,,,しゃもじ,Squirrels,squirrels,nan,nan
1248,し,砂利、石,gravel,,燃えないごみ,Non-burnable garbage,,,砂利,gravel,gravel,nan,nan
1249,し,シャワーカーテン,shower curtain,,燃やすごみ,Burnable garbage,,,シャワーカーテン,Shower curtain,shower curtain,nan,nan
1250,し,シャワーチェアー,shower chair,,粗大ごみ,Oversized garbage,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,Made of wooden and plastic and less than 50cm to Burnable garbage. Metal and less than 30cm to Small metal itemss.,シャワーチェアー,Shower chair,shower chair,nan,nan
1251,し,ジャングルジム(プラスチック製),jungle gym (made of plastic),,粗大ごみ,Oversized garbage,,,ジャングルジム(プラスチック製),Jungle gym (made of plastic),jungle gym (made of plastic),nan,nan
1252,し,シャンデリア,chandelier,,粗大ごみ,Oversized garbage,50cm未満のものは燃えないごみへ。,Those with less than 50cm are not Burnable garbage.,シャンデリア,chandelier,chandelier,nan,nan
1253,し,収納ボックス(木製・プラスチック製)、収納箱,storage box (wooden / plastic),,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those who are less than 50cm are to Burnable garbage.,収納ボックス(木製・プラスチック製),Storage box (wooden / plastic),storage box (wooden / plastic),nan,nan
1254,し,重箱,multi-tiered box,,燃やすごみ,Burnable garbage,,,重箱,Heavy box,heavy box,nan,nan
1255,し,樹脂、レジン,resin,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",樹脂,resin,resin,nan,nan
1256,し,シュノーケル,snorkel,,燃やすごみ,Burnable garbage,,,シュノーケル,Snorkel,snorkel,nan,nan
1257,し,ジョイントマット,joint mat,,燃やすごみ,Burnable garbage,50cmを超えるものは粗大ごみへ。,Those that exceed 50cm are to oversized garbage.,ジョイントマット,Joint mat,joint mat,nan,nan
1258,し,浄水器カートリッジ,water purifier cartridge,,燃やすごみ,Burnable garbage,,,浄水器カートリッジ,Water purifier cartridge,water purifier cartridge,nan,nan
1259,し,じょうろ,watering can,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,じょうろ,Jaw,jaw,nan,nan
1260,し,食品保存用の袋、食品保存袋,bags for storing food /food strage bag,,燃やすごみ,Burnable garbage,,,食品保存用の袋,Bags for storing food,bags for storing food,nan,nan
1262,し,除湿機、乾燥機,dehumidifier /dryer,,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those who are less than 50cm are to Burnable garbage.,除湿機,Dehumidifier,dehumidifier,nan,nan
1264,し,書籍、本,book,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,書籍,Book,book,nan,nan
1268,し,シリコン製品,silicon product,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",シリコン製品,Silicon product,silicon product,nan,nan
1270,し,人工芝,artificial turf,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",人工芝,Artificial turf,artificial turf,nan,nan
1271,し,人工芝マット,artificial turf mat,,粗大ごみ,Oversized garbage,折りたたんで50cm未満のものは燃やすごみへ。,Folding and less than 50cm to burn garbage.,人工芝マット,Artificial turf mat,artificial turf mat,nan,nan
1272,し,敷石,paved stone /paving stone,,燃えないごみ,Non-burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",敷石,Paved stone,paved stone,nan,nan
1273,し,七輪(金属製),charcoal grill (metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",七輪(金属製),Seven wheels (metal),seven wheels (metal),nan,nan
1274,し,七輪(陶器製),charcoal grill (ceramic),,燃えないごみ,Non-burnable garbage,,,七輪(陶器製),Seven wheels (made of pottery),seven wheels (made of pottery),nan,nan
1275,し,漆器,lacquerware,,燃やすごみ,Burnable garbage,,,漆器,lacquerware,lacquerware,nan,nan
1276,し,室内アンテナ(金属製),indoor antenna (metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみ。,Those with 30cm or more are oversized garbage.,室内アンテナ(金属製),Indoor antenna (metal),indoor antenna (metal),nan,nan
